Address,FirstDraw
1000XX S OAKLEY AVE,3
100XX S ARTESIAN AVE,9.2
100XX S ARTESIAN AVE,1.1
100XX S ARTESIAN AVE,1.2
100XX S AVENUE L,3.6
100XX S AVENUE M,3.9
100XX S AVENUE M,57
100XX S AVENUE M,See Follow-Up Sequential Sampling Table for Results
100XX S BELL AVE,1.7
100XX S BELL AVE,1.4
100XX S BELL AVE,4
100XX S BELL AVE,2.3
100XX S BELL AVE,1.8
100XX S BELL AVE,23
100XX S BELL AVE,23
100XX S BELL AVE,See Follow-Up Sequential Sampling Table for Results
100XX S CALHOUN AVE,4.1
100XX S CALHOUN AVE,4.1
100XX S CALHOUN AVE,See Follow-Up Sequential Sampling Table for Results
100XX S CALIFORNIA AVE,4.5
100XX S CALIFORNIA AVE,5.6
100XX S CALIFORNIA AVE,2.9
100XX S CALUMET AVE,4.7
100XX S CALUMET AVE,12
100XX S CALUMET AVE,2.7
100XX S CALUMET AVE,5.1
100XX S CALUMET AVE,5.1
100XX S CALUMET AVE,See Follow-Up Sequential Sampling Table for Results
100XX S CALUMET AVE,7
100XX S CALUMET AVE,2.3
100XX S CAMPBELL AVE,< 1
100XX S CARPENTER ST,2
100XX S CARPENTER ST,2.4
100XX S CARPENTER ST,2.2
100XX S CARPENTER ST,4.9
100XX S CARPENTER ST,2.5
100XX S CARPENTER ST,85
100XX S CARPENTER ST,13
100XX S CARPENTER ST,85
100XX S CARPENTER ST,See Follow-Up Sequential Sampling Table for Results
100XX S CARPENTER ST,13
100XX S CARPENTER ST,See Follow-Up Sequential Sampling Table for Results
100XX S CARPENTER ST,2.7
100XX S CHARLES ST,< 1
100XX S CHARLES ST,15
100XX S CHARLES ST,See Follow-Up Sequential Sampling Table for Results
100XX S CHARLES ST,15
100XX S CHARLES ST,15
100XX S CRANDON AVE,3.2
100XX S CRANDON AVE,2.1
100XX S CRANDON AVE,2.3
100XX S DAMEN AVE,1.6
100XX S DAMEN AVE,2.5
100XX S DAMEN AVE,1.7
100XX S DAMEN AVE,1
100XX S DR MARTIN LUTHER KING JR DR,1.7
100XX S DR MARTIN LUTHER KING JR DR,2.4
100XX S DR MARTIN LUTHER KING JR DR,2.3
100XX S EBERHART AVE,4.3
100XX S EBERHART AVE,1.5
100XX S EMERALD AVE,1.7
100XX S EXCHANGE AVE,5.2
100XX S FAIRFIELD AVE,2.4
100XX S FAIRFIELD AVE,3.9
100XX S FAIRFIELD AVE,1.9
100XX S FOREST AVE,5.2
100XX S FOREST AVE,5.4
100XX S GREEN ST,1.1
100XX S HAMILTON AVE,2.9
100XX S HAMILTON AVE,1.3
100XX S HOXIE AVE,3.2
100XX S HOYNE AVE,1.3
100XX S HOYNE AVE,1.4
100XX S HOYNE AVE,1.6
100XX S HOYNE AVE,2.5
100XX S HOYNE AVE,1.1
100XX S INDIANA AVE,0.9
100XX S LA SALLE ST,< 1
100XX S LA SALLE ST,7.4
100XX S LA SALLE ST,1.3
100XX S LAFAYETTE AVE,6.3
100XX S LASALLE ST,1.3
100XX S LASALLE ST,See Follow-Up Sequential Sampling Table for Results
100XX S LASALLE ST,7.4
100XX S LASALLE ST,See Follow-Up Sequential Sampling Table for Results
100XX S LEAVITT ST,1.2
100XX S LONGWOOD DR,6.2
100XX S LONGWOOD DR,6.5
100XX S LONGWOOD DR,Customer declined further testing
100XX S LOWE AVE,< 1
100XX S M,57
100XX S MALTA ST,2.6
100XX S MAPLEWOOD AVE,6.4
100XX S MAPLEWOOD AVE,1.9
100XX S MAPLEWOOD AVE,8
100XX S MAPLEWOOD AVE,Customer declined further testing
100XX S MAY ST,0.8
100XX S MERRILL AVE,10
100XX S MORGAN ST,1.6
100XX S NORMAL AVE,1.1
100XX S OAKLEY AVE,2.1
100XX S OAKLEY AVE,2.6
100XX S OAKLEY AVE,5.6
100XX S OAKLEY AVE,< 1
100XX S OAKLEY AVE,3.8
100XX S OGLESBY AVE,1.6
100XX S OGLESBY AVE,0.7
100XX S PARNELL AVE,See Follow-Up Sequential Sampling Table for Results
100XX S PARNELL AVE,19
100XX S PARNELL AVE,19
100XX S PAXTON AVE,6.7
100XX S PEORIA ST,1.9
100XX S PEORIA ST,2.1
100XX S PEORIA ST,6.3
100XX S PEORIA ST,5.5
100XX S PEORIA ST,3.5
100XX S PEORIA ST,4.9
100XX S PERRY AVE,1
100XX S PERRY AVE,1.7
100XX S PRAIRIE AVE,2.1
100XX S PRAIRIE AVE,1.8
100XX S PRAIRIE AVE,1.9
100XX S PRINCETON AVE,2.9
100XX S PRINCETON AVE,2.3
100XX S PRINCETON AVE,150
100XX S PROSPECT AVE,< 1
100XX S PROSPECT AVE,8.1
100XX S PROSPECT AVE,5.7
100XX S PROSPECT AVE,1.8
100XX S PROSPECT AVE,1.5
100XX S RHODES AVE,4.6
100XX S RHODES AVE,2.1
100XX S RHODES AVE,1.6
100XX S RHODES AVE,<0.5
100XX S RHODES AVE,0.8
100XX S SAINT LAWRENCE AVE,4.1
100XX S SAINT LAWRENCE AVE,3.2
100XX S SAINT LAWRENCE AVE,4.9
100XX S SAINT LAWRENCE AVE,1.1
100XX S SANGAMON ST,1.4
100XX S SANGAMON ST,2.2
100XX S SANGAMON ST,2.6
100XX S SEELEY AVE,7.4
100XX S SEELEY AVE,4.9
100XX S SEELEY AVE,1.4
100XX S ST LAWRENCE AVE,2
100XX S STATE ST,1.1
100XX S STATE ST,<0.5
100XX S STATE ST,3.7
100XX S VERNON AVE,See Follow-Up Sequential Sampling Table for Results
100XX S VERNON AVE,3.2
100XX S Vernon Ave,3.8
100XX S VERNON AVE,8.2
100XX S VERNON AVE,8.2
100XX S WALLACE ST,1.3
100XX S WASHTENAW AVE,4
100XX S WASHTENAW AVE,4
100XX S WASHTENAW AVE,See Follow-Up Sequential Sampling Table for Results
100XX S WENTWORTH AVE,1.5
100XX S WINCHESTER AVE,6
100XX S WINCHESTER AVE,7.3
100XX S WINCHESTER AVE,2.6
100XX S WOOD ST,4.6
100XX S WOOD ST,2.2
100XX S YALE AVE,1.7
101XX S ARTESIAN AVE,1.5
101XX S ARTESIAN AVE,3.7
101XX S ARTESIAN AVE,2
101XX S ARTESIAN AVE,2.7
101XX S ARTESIAN AVE,3
101XX S ARTESIAN AVE,1.9
101XX S AVENUE L,1.7
101XX S BELL AVE,< 1
101XX S BELL AVE,2.7
101XX S BELL AVE,1.1
101XX S BELL AVE,3.3
101XX S BELL AVE,Customer declined further testing
101XX S BEVERLY AVE,3.8
101XX S BEVERLY AVE,< 1
101XX S BEVERLY AVE,5.1
101XX S CALHOUN AVE,1.9
101XX S CALIFORNIA AVE,1.8
101XX S CALIFORNIA AVE,1.5
101XX S CARPENTER ST,1.7
101XX S CARPENTER ST,1.8
101XX S CARPENTER ST,1.2
101XX S CARPENTER ST,1.7
101XX S CRANDON AVE,1.2
101XX S CRANDON AVE,5.8
101XX S DR MARTIN LUTHER KING JR DR,3.7
101XX S DR MARTIN LUTHER KING JR DR,4.7
101XX S DR MARTIN LUTHER KING JR DR,23
101XX S DR MARTIN LUTHER KING JR DR,23
101XX S DR MARTIN LUTHER KING JR DR,See Follow-Up Sequential Sampling Table for Results
101XX S Dr Martin Luther King Jr Dr,1.5
101XX S DR MARTIN LUTHER KING JR DR,0.8
101XX S DR MARTIN LUTHER KING JR DR,9.1
101XX S EBERHART,16
101XX S EBERHART,See Follow-Up Sequential Sampling Table for Results
101XX S EBERHART AVE,1.8
101XX S EBERHART AVE,16
